author;title;state;district;type;date;subjects;description
Adeyemi, Tomi;Children of Blood and Bone (Legacy of Orïsha Series);Texas;Katy Independent School District;Banned Pending Investigation;Jan.22;Fantasy;"<p><b>An Instant #1 <i>New York Times</i> Bestseller<br>A TIME Top 100 Fantasy Books of All Time<br><i>A New York Times</i> Notable Children's Book<br></b><b><i>A Kirkus </i>Prize Finalist</b><b><br><br>With five starred reviews, Tomi Adeyemi’s West African-inspired fantasy debut, and instant #1 <i>New York Times</i> Bestseller, conjures a world of magic and danger, perfect for fans of Leigh Bardugo and Sabaa Tahir.</b><br><br><i>They killed my mother.<br>They took our magic.<br>They tried to bury us.<br><br>Now we rise.</i><br><br>Zélie Adebola remembers when the soil of Orïsha hummed with magic. Burners ignited flames, Tiders beckoned waves, and Zélie’s Reaper mother summoned forth souls.<br><br>But everything changed the night magic disappeared. Under the orders of a ruthless king, maji were killed, leaving Zélie without a mother and her people without hope.<br><br>Now Zélie has one chance to bring back magic and strike against the monarchy. With the help of a rogue princess, Zélie must outwit and outrun the crown prince, who is hell-bent on eradicating magic for good.<br><br>Danger lurks in Orïsha, where snow leoponaires prowl and vengeful spirits wait in the waters. Yet the greatest danger may be Zélie herself as she struggles to control her powers and her growing feelings for an enemy.<br><br><b><i><u>Praise for Children of Blood and Bone</u></i></b><br><br>""A phenomenon."" <b>—</b><b><i>Entertainment Weekly</i></b><br><br>“The epic I’ve been waiting for.” <b>—</b><b><i>New York Times</i>-bestselling author Marie Lu </b><br><br>“You will be changed. You will be ready to rise up and reclaim your own magic!” <b>—</b><b><i>New York Times</i>-bestselling author Dhonielle Clayton</b><br><br>“The next big thing in literature <i>and </i>film.” <b>—</b><b><i>Ebony</i></b><br><br>“One of the biggest young adult fiction debut book deals of the year.” <b>—</b><b><i>Teen Vogue</i></b><br><b><br>This title has Common Core connections.</b><br><br><b>-<br><br>The Complete Legacy of Orïsha Series:</b><br><i><br>Children of Blood and Bone </i>(Book 1)<br><i>Children of Virtue and Vengeance </i>(Book 2)<br><i>Children of Anguish and Anarchy </i>(Book 3)</p>"
Adeyoha, Koja;47,000 Beads;Pennsylvania;Central York School District;Banned from Classrooms;Aug.21;Children's Books;Peyton loves to dance, and especially at Pow Wow, but her Auntie notices that she’s been dancing less and less. When Peyton shares that she isn't comfortable wearing a dress anymore, Auntie Eyota asks some friends for help to get Peyton what she needs.
Adichie, Chimamanda Ngozi;Half of a Yellow Sun;Michigan;Hudsonville Public Schools;Banned from Classrooms;Jan.22;Contemporary;"NATIONAL BOOK CRITICS CIRCLE AWARD FINALIST • From the award-winning, bestselling author of Americanah and We Should All Be Feminists—a haunting story of love and war. • Recipient of the Women’s Prize for Fiction “Winner of Winners” award. With effortless grace, celebrated author Chimamanda Ngozi Adichie illuminates a seminal moment in modern African history: Biafra's impassioned struggle to establish an independent republic in southeastern Nigeria during the late 1960s. We experience this tumultuous decade alongside five unforgettable characters: Ugwu, a thirteen-year-old houseboy who works for Odenigbo, a university professor full of revolutionary zeal; Olanna, the professor’s beautiful young mistress who has abandoned her life in Lagos for a dusty town and her lover’s charm; and Richard, a shy young Englishman infatuated with Olanna’s willful twin sister Kainene. Half of a Yellow Sun is a tremendously evocative novel of the promise, hope, and disappointment of the Biafran war."
Adler, Dahlia;Cool for the Summer;Tennessee;Collierville Schools;Banned Pending Investigation;Feb.22;Comics & Graphic Novels;"<p><b>""Witty, wise, and disarmingly tender. I am hopelessly devoted to this summer dream of a book."" —Becky Albertalli, <i>New York Times</i> bestselling author of <i>Simon vs. the Homo Sapiens Agenda</i><br></b><br><b>The guy of her dreams... or the girl in her heart? </b><br><br>Lara's had eyes for exactly one person throughout her three years of high school: Chase Harding. He's tall, strong, sweet, a football star, and frankly, stupid hot. Oh, and he's talking to her now. On purpose and everything. Maybe...flirting, even? No, wait, he's definitely flirting, which is pretty much the sum of everything Lara's wanted out of life.<br><br>Except she’s haunted by a memory. A memory of a confusing, romantic, strangely perfect summer spent with a girl named Jasmine. A memory that becomes a confusing, disorienting present when Jasmine herself walks through the front doors of the school to see Lara and Chase chatting it up in front of the lockers.<br><br>Lara has everything she ever wanted: a tight-knit group of friends, a job that borders on cool, and Chase, the boy of her literal dreams. But if she's finally got the guy, why can't she stop thinking about the girl?<br><br>Dahlia Adler's <i>Cool for the Summer</i> is a story of self-discovery and new love. It’s about the things we want and the things we need. And it’s about the people who will let us be who we are.</p>"
Agell, Charlotte;The Accidental Adventures of India McAllister;Texas;North East Independent School District;Banned from Libraries;Dec.21;Children's Books;Fourth grade is a year of changes, challenges, and ordinary joys for India McAllister. She lives in Maine with her artist mom and their dog, Tofu. Her father lives in the next town over with his new partner, Richard and their bird, Beatrice Strawberry. India – named for the ink, not the subcontinent – was adopted from China as a baby. Being the only Chinese girl in her small town fuels India's search for identity. India reports in her own words and drawings about life, adventures (many with her good friend Colby) and all things annoying as well as what makes her happy. First three on the happy list: Tofu, Bird, and Colby!<br/>The Accidental Adventures of India McAllister is a 2011 Bank Street - Best Children's Book of the Year.
Ahmadi, Arvin;How It All Blew Up;Tennessee;Collierville Schools;Banned Pending Investigation;Feb.22;Romance;Simon vs. the Homo Sapiens Agenda goes to Italy in Arvin Ahmadi's newest incisive look at identity and what it means to find yourself by running away.<br/><br/>Eighteen-year-old Amir Azadi always knew coming out to his Muslim family would be messy--he just didn't think it would end in an airport interrogation room. But when faced with a failed relationship, bullies, and blackmail, running away to Rome is his only option. Right?<br/><br/>Soon, late nights with new friends and dates in the Sistine Chapel start to feel like second nature... until his old life comes knocking on his door. Now, Amir has to tell the whole truth and nothing but the truth to a US Customs officer, or risk losing his hard-won freedom.<br/><br/>At turns uplifting and devastating, How It All Blew Up is Arvin Ahmadi's most powerful novel yet, a celebration of how life's most painful moments can live alongside the riotous, life-changing joys of discovering who you are.
Ahmadi, Arvin;How It All Blew Up;Texas;North East Independent School District;Banned Pending Investigation;Dec.21;Romance;Simon vs. the Homo Sapiens Agenda goes to Italy in Arvin Ahmadi's newest incisive look at identity and what it means to find yourself by running away.<br/><br/>Eighteen-year-old Amir Azadi always knew coming out to his Muslim family would be messy--he just didn't think it would end in an airport interrogation room. But when faced with a failed relationship, bullies, and blackmail, running away to Rome is his only option. Right?<br/><br/>Soon, late nights with new friends and dates in the Sistine Chapel start to feel like second nature... until his old life comes knocking on his door. Now, Amir has to tell the whole truth and nothing but the truth to a US Customs officer, or risk losing his hard-won freedom.<br/><br/>At turns uplifting and devastating, How It All Blew Up is Arvin Ahmadi's most powerful novel yet, a celebration of how life's most painful moments can live alongside the riotous, life-changing joys of discovering who you are.
Ahmed, Roda;Mae Among the Stars;Pennsylvania;Central York School District;Banned from Classrooms;Aug.21;Historical Fiction;"A beautiful picture book for sharing and marking special occasions such as graduation, inspired by the life of the first African American woman to travel in space, Mae Jemison. An Amazon Best Book of the Month!<br/>A great classroom and bedtime read-aloud, Mae Among the Stars is the perfect book for young readers who have big dreams and even bigger hearts.<br/>When Little Mae was a child, she dreamed of dancing in space. She imagined herself surrounded by billions of stars, floating, gliding, and discovering.<br/>She wanted to be an astronaut.<br/>Her mom told her, ""If you believe it, and work hard for it, anything is possible.”<br/>Little Mae’s curiosity, intelligence, and determination, matched with her parents' encouraging words, paved the way for her incredible success at NASA as the first African American woman to travel in space.<br/>This book will inspire other young girls to reach for the stars, to aspire for the impossible, and to persist with childlike imagination."
Ahmed, Samira;Love, Hate & Other Filters;Mississippi;Madison County Schools;Banned from Libraries;Apr.22;;Maya Aziz Dreams Of Being A Film Maker In New York. She's Also Caught Between The Guy She Should Like And The Guy She Does Like. Then A Suicide Bomber Who Shares Her Last Name Strikes In A City Hundreds Of Miles Away And Everything Changes
Ahmed, Samira;Love, Hate & Other Filters;Wisconsin;School District of Waukesha;Banned from Libraries;Dec.21;;Maya Aziz Dreams Of Being A Film Maker In New York. She's Also Caught Between The Guy She Should Like And The Guy She Does Like. Then A Suicide Bomber Who Shares Her Last Name Strikes In A City Hundreds Of Miles Away And Everything Changes
Ahmed, Sara K.;Being the Change: Lessons and Strategies to Teach Social Comprehension;Pennsylvania;Central York School District;Banned from Classrooms;Aug.21;Politics & Social Sciences;"Topics such as race, gender, politics, religion, and sexuality are part of our students’ lives, yet when these subjects are brought up at school teachers often struggle with how to respond. How do we create learning conditions where kids can ask the questions they want to ask, muddle through how to say the things they are thinking, and have tough conversations? How can we be proactive and take steps to engaging in the types of conversations where risk is high but the payoff could be even greater?<br/>Being the Change is based on the idea that people can develop skills and habits to serve them in the comprehension of social issues. Sara K. Ahmed identifies and unpacks the skills of social comprehension, providing teachers with tools and activities that help students make sense of themselves and the world as they navigate relevant topics in today’s society.<br/>Each chapter includes clear, transferrable lessons and practical strategies that help students learn about a targeted social comprehension concept. From exploring identity and diversity to understanding and addressing biases and microaggressions, Sara demonstrates how to address real issues honestly in the classroom while honoring and empowering students.<br/>Dealing with social issues is uncomfortable and often messy, but you can build habitats of trust where kids and adults can make their thinking visible and cultivate empathy; where expression, identity, and social literacy matter. There is no magic formula for making the world a better place. It happens in the moments we embrace discomfort and have candid conversations.<br/>****<br/>""I am convinced that every class of kids I work with is filled with change agents who will make this world the one we teach toward. I believe that my students will carry the work of doing right by this world into their own lives.<br/>I’ll bet you believe this about your kids, too.""<br/>―Sara K. Ahmed"
Ahmed, Sara K.;Being the Change: Lessons and Strategies to Teach Social Comprehension;Texas;North East Independent School District;Banned Pending Investigation;Dec.21;Politics & Social Sciences;"Topics such as race, gender, politics, religion, and sexuality are part of our students’ lives, yet when these subjects are brought up at school teachers often struggle with how to respond. How do we create learning conditions where kids can ask the questions they want to ask, muddle through how to say the things they are thinking, and have tough conversations? How can we be proactive and take steps to engaging in the types of conversations where risk is high but the payoff could be even greater?<br/>Being the Change is based on the idea that people can develop skills and habits to serve them in the comprehension of social issues. Sara K. Ahmed identifies and unpacks the skills of social comprehension, providing teachers with tools and activities that help students make sense of themselves and the world as they navigate relevant topics in today’s society.<br/>Each chapter includes clear, transferrable lessons and practical strategies that help students learn about a targeted social comprehension concept. From exploring identity and diversity to understanding and addressing biases and microaggressions, Sara demonstrates how to address real issues honestly in the classroom while honoring and empowering students.<br/>Dealing with social issues is uncomfortable and often messy, but you can build habitats of trust where kids and adults can make their thinking visible and cultivate empathy; where expression, identity, and social literacy matter. There is no magic formula for making the world a better place. It happens in the moments we embrace discomfort and have candid conversations.<br/>****<br/>""I am convinced that every class of kids I work with is filled with change agents who will make this world the one we teach toward. I believe that my students will carry the work of doing right by this world into their own lives.<br/>I’ll bet you believe this about your kids, too.""<br/>―Sara K. Ahmed"
Albertalli, Becky;Here's to Us;Tennessee;Collierville Schools;Banned Pending Investigation;Feb.22;Contemporary;#1 New York Times bestseller! Becky Albertalli and Adam Silvera reunite to continue the story of Arthur and Ben, the boys readers first fell for in the bestselling rom-com What If It’s Us. Ben survived freshman year of college, but he’s feeling more stuck than ever. His classes are a slog, his part-time job working with his father is even worse, and his best friend Dylan’s been acting weird for weeks. Ben’s only real bright spot is his writing partner Mario, who’s been giving him a lot of Spanish lessons and even more kisses. Mario’s big Hollywood dreams make Ben start to dream bigger—and the choices he makes now could be the key to reshaping his future. So why can’t he stop thinking about a certain boy from his past? Arthur is back in New York City for the first time in two years, ready to take the theater world by a storm as the world’s best . . . intern to the assistant of an off-off-Broadway director. Of course, it sucks to be spending the summer apart from his sweet, reliable boyfriend, Mikey, but he knows their relationship is strong enough to weather the distance. Which is why it’s no big deal when his ex-boyfriend Ben stumbles back into the picture. And it’s definitely fine that Ben’s blissfully happy with some mystery boy. First loves are special, but it’s way too late for what-ifs. Right? Even as the boys try to shake off the past, they keep running into each other in the present. Is this the universe trying to tell them there’s a do-over in their future? Here's to Us is sure to be welcomed by fans old and new of these authors and their previous collaboration, What If It's Us. Critically acclaimed and bestselling authors Becky Albertalli and Adam Silvera combine their talents in these smart, funny, heartfelt novels about two very different boys who can’t decide if the universe is pushing them together—or pulling them apart.
Albertalli, Becky;Kate in Waiting;Tennessee;Collierville Schools;Banned Pending Investigation;Feb.22;Contemporary;From #1 New York Times bestselling author and rom-com queen Becky Albertalli comes a buoyant new novel about daring to step out of the shadows and into the spotlight in love, life, and, yes, theater. Contrary to popular belief, best friends Kate Garfield and Anderson Walker are not codependent. Carpooling to and from theater rehearsals? Environmentally sound and efficient. Consulting each other on every single life decision? Basic good judgment. Pining for the same guys from afar? Shared crushes are more fun anyway. But when Kate and Andy’s latest long-distance crush shows up at their school, everything goes off-script. Matt Olsson is talented and sweet, and Kate likes him. She really likes him. The only problem? So does Anderson.   Turns out, communal crushes aren’t so fun when real feelings are involved. This one might even bring the curtains down on Kate and Anderson’s friendship.
Albertalli, Becky;Leah on the Offbeat (Simonverse Series);Idaho;Nampa School District;Banned from Libraries and Classrooms;May.22;Romance;Welcome to the “Simonverse”—three interconnected novels full of heart and humor, romance and friendship, by #1 New York Times bestselling author Becky Albertalli. This box set of three beloved Becky Albertalli paperbacks makes a great gift!<br/>Simon vs. the Homo Sapiens Agenda<br/>Sixteen-year-old and not-so-openly gay Simon Spier prefers to save his drama for the school musical. But when an email falls into the wrong hands, his secret is at risk of being thrust into the spotlight.<br/>The Upside of Unrequited<br/>Molly Peskin-Suso knows all about unrequited love. She can’t stomach the idea of rejection, so she’s careful. Fat girls always have to be careful. There’s only one problem: Molly’s adorable coworker, Reid.<br/>Leah on the Offbeat<br/>Leah Burke doesn’t know what to do when her rock-solid group of friends starts to fracture near the end of senior year. It’s especially hard when she realizes she might be in love with one of them.<br/>Plus don't miss Yes No Maybe So, Becky Albertalli's and Aisha Saeed's heartwarming and hilarious new novel, coming in 2020!
Albertalli, Becky;Leah on the Offbeat (Simonverse Series);Tennessee;Collierville Schools;Banned Pending Investigation;Feb.22;Romance;Welcome to the “Simonverse”—three interconnected novels full of heart and humor, romance and friendship, by #1 New York Times bestselling author Becky Albertalli. This box set of three beloved Becky Albertalli paperbacks makes a great gift!<br/>Simon vs. the Homo Sapiens Agenda<br/>Sixteen-year-old and not-so-openly gay Simon Spier prefers to save his drama for the school musical. But when an email falls into the wrong hands, his secret is at risk of being thrust into the spotlight.<br/>The Upside of Unrequited<br/>Molly Peskin-Suso knows all about unrequited love. She can’t stomach the idea of rejection, so she’s careful. Fat girls always have to be careful. There’s only one problem: Molly’s adorable coworker, Reid.<br/>Leah on the Offbeat<br/>Leah Burke doesn’t know what to do when her rock-solid group of friends starts to fracture near the end of senior year. It’s especially hard when she realizes she might be in love with one of them.<br/>Plus don't miss Yes No Maybe So, Becky Albertalli's and Aisha Saeed's heartwarming and hilarious new novel, coming in 2020!
Albertalli, Becky;Love, Creekwood: A Simonverse Novella (Simonverse Series);Texas;North East Independent School District;Banned from Libraries;Dec.21;Contemporary;New York Times bestseller! Fall in love all over again with the characters from the bestselling Simonverse novels in this highly anticipated epilogue novella. Perfect for fans of Becky Albertalli, the movie Love, Simon, and the new Hulu series spin-off, Love, Victor! It’s been more than a year since Simon and Blue turned their anonymous online flirtation into an IRL relationship, and just a few months since Abby and Leah’s unforgettable night at senior prom. Now the Creekwood High crew are first years at different colleges, navigating friendship and romance the way their story began—on email. Praise for the Simonverse novels: Simon vs. the Homo Sapiens Agenda, The Upside of Unrequited, and Leah on the Offbeat: “Worthy of Fault in Our Stars–level obsession.”—Entertainment Weekly, on Simon vs. The Homo Sapiens Agenda “Heart-fluttering, honest, and hilarious. I can’t stop hugging this book.”—Stephanie Perkins, New York Times bestselling author of Anna and the French Kiss, on The Upside of Unrequited “Albertalli has a fantastic ear for voice, and it’s beautifully on dis­play in Leah’s funny, wry, and vulnerable first-person narrative.”—ALA Booklist (starred review), on Leah on the Offbeat
